CLIENTE,RAZÓN SOCIAL,RFC,GRUPO,TIPO DE NEGOCIO,FECHA ALTA,SECTOR ECONÓMICO,SUBSECTOR ECONÓMICO,TIPO DE VENTA,CONTADO ESPECIAL,FECHA ALTA CRÉDITO,CRÉDITO,FECHA INICIO COBERTURA SEGURO,MONTO COBERTURA SEGURO,EMPRESA COBERTURA SEGURO,PLAZO,INTERÉS,ESTATUS,EMPRESA REGISTRO,SUCURSAL REGISTRO,PRODUCTO,DIRECCIÓN FISCAL,VENDEDOR(ES),TELÉFONO(S),GARANTÍA,IMPORTE FIANZA,IMPORTE PAGARÉ,IMPORTE CONTRATO,IMPORTE FILIAL,IMPORTE DISCRECIONAL,FECHA INICIO FIANZA,FECHA FIN FIANZA,FECHA INICIO PAGARÉ,FECHA FIN PAGARÉ,FECHA INICIO CONTRATO,FECHA FIN CONTRATO,FIANZA,FECHA VENC. FIANZA,
3178,777 MSI DIAMANTE SOCIEDAD ANONIMA DE CAPITAL VARIABLE,SSS111011L9A,,Distribuidora,25/05/2021,ACUACULTURA,,Contado,NO,,$0.00,,$0.00,,0,%0,Activo,Abastecedora,Culiacan,," BOULEVARD FRANCISCO I MADERO OTE #3487 MIGUEL HIDALGO C.P. 80090 Culiacán, Sinaloa, México",ABACOM - Culiacan - CARLOS EDUARDO IBARRA TREJO,"6677622327,",,,,undefined,,,,,,,undefined,undefined,,,
7713,818 MERIDIAN LTD / 818,XEXX010101000,,Distribuidora,19/11/2025,TURISMO,TURISMO YATES,Contado,NO,,$0.00,,$0.00,,0,%0,Activo,Abastecedora,La Paz,," CAYMAN BUSINESS PARK A7 P.O. BOX #NA GRAND CAYMAN C.P. 10300 GEORGE TOWN, Grand Cayman, Cayman Islands",ABACOM - La Paz - GILBERTO VALDEZ ROCHIN,"1212121212,",,,,undefined,,,,,,,undefined,undefined,,,
2279,A U P A CULIACANCITO MODULO IV 1 AC,AUP9201231A3,AUPA,Distribuidora,11/12/2019,AGRICULTURA,,Contado,NO,,$0.00,,$0.00,,0,%0,Activo,Abastecedora,Culiacan," DIESEL MARINO PETROIL, DIESEL AUTOMOTRIZ PETROIL"," CARRETERA CULIACAN VITARUTO #KM 21 SIN COLONIA C.P. 80300 Culiacán, Sinaloa, México",,",",,,,undefined,,,,,,,undefined,undefined,,,
7988,A&A RECYCLING WASTE MANAGEMENT,ARW1107081A0,,Distribuidora,24/02/2026,TRANSPORTE,CARGA,Contado,NO,,$0.00,,$0.00,,0,%0,Activo,Abastecedora,Mexicali,," JORGE RETZ #3500 HUERTAS DE LA PROGRESO C.P. 21190 Mexicali, Baja California, México",ABACOM - Mexicali - LUIS ENRIQUE BALLESTEROS SEPULVEDA,"6862476801,",,,,undefined,,,,,,,undefined,undefined,,,
8322,"A&G TRUCKING GROUP, INC.",ATG151110RZ6,,Distribuidora,26/05/2026,TRANSPORTE,CARGA,Credito,NO,10/06/2026,"$500,000.00",10/06/2026,"$500,000.00",Abastecedora,15,%0.125,Activo,Abastecedora,Tijuana, DIESEL AUTOMOTRIZ PETROIL," INTERNACIONAL #8 AEROPUERTO C.P. 22404 Tijuana, Baja California, México",ABACOM - Tijuana - LUIS XAVIER HERNANDEZ PACHECO,"6643742955,",,,,undefined,,,,,,,undefined,undefined,,,
5120,A&Z NUTRITION,ANU170803PU1,,GasPetroil,09/02/2024,COMERCIO,TIENDAS DE AUTOSERVICIO,Contado,NO,,$0.00,,$0.00,,0,%0,Activo,Petro Smart,CULIACAN GAS LP,," LAS AMERICAS #3416 LOMAS DEL PEDREGAL C.P. 80016 Culiacán, Sinaloa, México",PETROSMART - CULIACAN GAS LP - AMADO SABAS GUZMAN REYNAUD,"6675698698,",,,,undefined,,,,,,,undefined,undefined,,,
6152,"A.E.C. ASFALTOS, EMULSIONES CRUZ",AAE210728FT1,,GasPetroil,29/08/2024,ENERGETICO,GAS LP,Contado,NO,,$0.00,,$0.00,,0,%0,Activo,Petro Smart,HERMOSILLO GAS LP,," VILLA AZUETA #74 VILLAS DEL SUR C.P. 83284 Hermosillo, Sonora, México",PETROSMART - HERMOSILLO GAS LP - AMADO SABAS GUZMAN REYNAUD,"6623438581,",,,,undefined,,,,,,,undefined,undefined,,,
2461,"A.U.P.A. LA PALMA, MODULO I-1",UPP920123730,AUPA,Distribuidora,02/03/2020,SIN SECTOR,,Contado,NO,,$0.00,,$0.00,,0,%0,Activo,Abastecedora,Culiacan," DIESEL MARINO PETROIL, DIESEL AUTOMOTRIZ PETROIL"," GUILLERMO PRIETO PTE #562 VILLA GENERAL ANGEL FLORES C.P. 80349 Navolato, Sinaloa, México",,",",,,,undefined,,,,,,,undefined,undefined,,,
25,A+Z AUTOMATIZACION S DE RL DE CV,AAU1302167J1,,Distribuidora,16/02/2015,ACUACULTURA,,Contado,NO,,$0.00,,$0.00,,0,%0,Activo,Abastecedora,Mazatlan, DIESEL AUTOMOTRIZ PETROIL," SENDERO DE GRANADA #2  MILENIO III C.P. 76060 Querétaro, Querétaro, México",ABACOM - Culiacan - AMADO SABAS GUZMAN REYNAUD,",",,,,undefined,,,,,,,undefined,undefined,,,
2603,AARFS,AAR990427Q6A,,Distribuidora,12/06/2020,AGROINDUSTRIA,,Credito,NO,15/06/2020,"$1,300,000.00",,$0.00,Abastecedora,10,%0.10000000149,Activo,Abastecedora,Los Mochis, DIESEL AUTOMOTRIZ PETROIL," ZARAGOZA Y L. CARDENAS #S/N CENTRO C.P. 81200 Ahome, Sinaloa, México",ABACOM - Los Mochis - Luis Adalberto Navarro Lopez,"-,-, -, -",,,,undefined,,,,,,,undefined,undefined,,,
6338,AARKFUELS,AAR190304DZ4,,Distribuidora,30/10/2024,TRANSPORTE,CARGA,Contado,NO,,$0.00,,$0.00,,0,%0,Activo,Abastecedora,Guadalajara,," AV SIERRA VISTA #1305 PISO6 LOMAS DEL TECNOLOGICO C.P. 78215 San Luis Potosí, San Luis Potosí, México",ABACOM - Guadalajara - FRANCISCO RUBEN RAMOS MATA,"3316059070,",,,,undefined,,,,,,,undefined,undefined,,,
6044,AARON ABOYTE LUGO,AOLA630701RL1,,GasPetroil,31/07/2024,ENERGETICO,GAS LP,Contado,NO,,$0.00,,$0.00,,0,%0,Activo,Petro Smart,NAVOJOA GAS LP,," TENOCHTITLAN #SN BIENESTAR C.P. 81280 Ahome, Sinaloa, México",PETROSMART - NAVOJOA GAS LP - AMADO SABAS GUZMAN REYNAUD,"6683221510,",,,,undefined,,,,,,,undefined,undefined,,,
7645,AARON MEZA CERVANTES,MECA640701FP9,,Distribuidora,23/10/2025,PESCA,CAMARÓN,Contado,NO,,$0.00,,$0.00,,0,%0,Activo,Abastecedora,Los Mochis,," CALLE LA REFORMA #2110 LA CANTERA C.P. 81294 Ahome, Sinaloa, México",ABACOM - Los Mochis - LUIS ALAN AGUILAR RODRIGUEZ,"0000000000,",,,,undefined,,,,,,,undefined,undefined,,,
192,AARON RAMON BELTRAN GARCIA,BEGA851101RP6,PRUEBA,Distribuidora,29/04/2016,ACUACULTURA,,Credito,NO,13/10/2017,"$80,000.00",,$0.00,Abastecedora,7,%0.1,Activo,Abastecedora,Mazatlan, DIESEL AUTOMOTRIZ PETROIL," MIGUEL HIDALGO #32  EL BARRIO C.P. 80180 Culiacán, Sinaloa, México",ABACOM - Culiacan - AMADO SABAS GUZMAN REYNAUD,",6673055968",,,,undefined,,,,,,,undefined,undefined,,,
2915,AARON RENE ESCALANTE MASCAREÑO,EAMA650102NF7,ESCALANTE,Distribuidora,12/12/2020,TRANSPORTE,CARGA,Credito,NO,06/09/2021,"$500,000.00",06/09/2021,"$500,000.00",Abastecedora,45,%0.10000000149,Activo,Abastecedora,Hermosillo, DIESEL AUTOMOTRIZ PETROIL," PEQUEÑA INDUSTRIA Y BLVD LAS TORRES #2166 PARQUE INDUSTRIAL C.P. 85065 Cajeme, Sonora, México","ABACOM - Hermosillo - JESUS RAMON PRECIADO GARCIA, ABACOM - Ciudad Obregon - JESUS RAMON PRECIADO GARCIA","6441407156,",,,,undefined,,,,,,,undefined,undefined,,,
6809,AARON ROMAN MADA GARNER,MAGA821118FH3,,GasPetroil,19/03/2025,ENERGETICO,GAS LP,Contado,NO,,$0.00,,$0.00,,0,%0,Activo,Petro Smart,HERMOSILLO GAS LP,," MARSELLA #54 CENTENARIO C.P. 83260 Hermosillo, Sonora, México",PETROSMART - HERMOSILLO GAS LP - AMADO SABAS GUZMAN REYNAUD,"6624323056,",,,,undefined,,,,,,,undefined,undefined,,,
2604,AAS CHINITOS,ACI070606V16,CARLOS ZUÑIGA,Asociados,12/06/2020,ENERGETICO,GASOLINERAS,Credito,SI,11/07/2020,"$1,200,000.00",,$0.00,Abastecedora,1,%0,Activo,Abastecedora,Los Mochis," DIESEL AUTOMOTRIZ PETROIL, GASOLINA 87 OCTANOS, GASOLINA 91 OCTANOS"," CARRETERA 500 KM 47 #SN INDEPENDENCIA C.P. 81690 Angostura, Sinaloa, México",ABACOM - Los Mochis - PERLA CRISTINA GONZALEZ ARELLANO,"6671972458,-",",,Discrecional,",,,undefined,,"$1,200,000.00",,,,,undefined,undefined,,,
3043,AAS LA PALMA,APA070606QH3,AAS,Asociados,16/03/2021,ENERGETICO,GASOLINERAS,Credito,SI,17/03/2021,"$1,200,000.00",,$0.00,Abastecedora,1,%0,Activo,Abastecedora,Culiacan," DIESEL AUTOMOTRIZ PETROIL, GASOLINA 87 OCTANOS, GASOLINA 91 OCTANOS"," CARRETERA CAIMANCITO-CUL #363 MANUEL J. CLOUTHIER C.P. 80349 Navolato, Sinaloa, México",ABACOM - Culiacan - AMADO SABAS GUZMAN REYNAUD,"6675033219,",",,Discrecional,",,,undefined,,"$1,200,000.00",,,,,undefined,undefined,,,
3439,ABARROTERA AVILA,AAV020404B61,,Distribuidora,17/09/2021,COMERCIO,TIENDAS DE AUTOSERVICIO,Contado,NO,,$0.00,,$0.00,,0,%0,Activo,Abastecedora,Los Mochis," DIESEL AUTOMOTRIZ PETROIL, GASOLINA 87 OCTANOS, DIESEL AUTOMOTRIZ PETROIL, GASOLINA 87 OCTANOS"," CARRETERA MUNICIPAL LIBRE LOS MOCHIS AHOME MARGEN DERECHO #KM 5.3 EJIDO MOCHIS C.P. 81310 Ahome, Sinaloa, México","ABACOM - Culiacan - CESAR RUBEN SOTO ORTEGA, ABACOM - Los Mochis - CESAR RUBEN SOTO ORTEGA, PETROSMART - Los Mochis - CESAR RUBEN SOTO ORTEGA","6682328972,",,,,undefined,,,,,,,undefined,undefined,,,
3580,ABARROTERA DEL DUERO,ADU800131T10,DUERO,Distribuidora,21/01/2022,TRANSPORTE,CARGA,Credito,NO,24/01/2022,"$500,000.00",24/01/2022,"$500,000.00",Abastecedora,30,%0.10000000149,Activo,Abastecedora,Guadalajara, DIESEL AUTOMOTRIZ PETROIL," LEIBNITZ #1 ANZURES C.P. 11590 Zamora, Michoacán de Ocampo, México",ABACOM - Guadalajara - FRANCISCO RUBEN RAMOS MATA,"6622212529,",,,,undefined,,,,,,,undefined,undefined,,,
8059,ABASTECEDORA DE COMBUSTIBLE ESTACION DIMAS,ACE210605BL4,DIMAS,Asociados,12/03/2026,ENERGETICO,GASOLINERAS,Credito,NO,13/03/2026,"$1,200,000.00",,$0.00,Abastecedora,1,%0,Activo,Abastecedora,Mazatlan,," MAXIPISTA CULIACAN-MAZATLAN #1280 OTRA NO ESPECIFICADA EN EL CATALOGO C.P. 82969 San Ignacio, Sinaloa, México",ABACOM - Mazatlan - AMADO SABAS GUZMAN REYNAUD,"6692148087,",",,Discrecional,",,,undefined,,"$1,200,000.00",,,,,undefined,undefined,,,
2177,ABASTECEDORA DE COMBUSTIBLES DE SONORA SA DE CV,ACS020515HK3,,Distribuidora,01/10/2019,ENERGETICO,,Contado,NO,,$0.00,,$0.00,,0,%0,Activo,Abastecedora,Ensenada,,,ABACOM - Ensenada - ADRIANA CERVANTES ROBLES,",",,,,undefined,,,,,,,undefined,undefined,,,
47,ABASTECEDORA DE COMBUSTIBLES DEL PACIFICO,ACP000726NG7,PETROIL,Distribuidora,23/11/2009,ENERGETICO,DISTRIBUIDORES,Credito,NO,13/10/2017,"$500,000,000.00",,$0.00,Abastecedora,60,%0.10000000149,Activo,Abastecedora,Mazatlan," DIESEL MARINO PETROIL, DIESEL AUTOMOTRIZ PETROIL, DIESEL INDUSTRIAL PETROIL, GASOLINA 87 OCTANOS, COMBUSTOLEO PESADO (PETROIL), IFO 180"," LIBRAMIENTO BENITO JUAREZ #2084 EL RANCHITO C.P. 80300 Culiacán, Sinaloa, México | CARRETERA VIEJA A SAN BLAS #. MIGUEL HIDALGO C.P. 81210 Ahome, Sinaloa, México | DE LAS GALAXIAS ENTRE CARRETERA A SAHUARIPA Y BLVD. VIA LACTEA #42 PARQUE INDUSTRIAL C.P. 83299 Hermosillo, Sonora, México | AV. INCALPA #2067 LOPEZ COTILLA C.P. 45615 San Pedro Tlaquepaque, Jalisco, México | AVENIDA DEL TRABAJO #999 TEPEIXTLES C.P. 28876 Manzanillo, Colima, México | AV. PUERTO MAZATLAN #4 PARQUE INDUSTRIAL PORTUARIO ALFREDO V. BONFIL C.P. 82050 Mazatlán, Sinaloa, México | CALLE SEBASTIÁN VIZCAÍNO #51 GARITA DE OTAY C.P. 22430 Tijuana, Baja California, México | ISLOTE #2379 RINCONADA DE LA VICTORIA C.P. 44538 Guadalajara, Jalisco, México | CALLE MANZANA 84 #. COL. CENTRO C.P. 23940 Mulegé, Baja California Sur, México | CARRETERA AL AEROPUERTO KM 11.65 #. ABASOLO C.P. 21600 Mexicali, Baja California, México | CARRETERA PANAMERICANA KM 320 #. SAN VICENTE DE FLORES C.P. 36881 Salamanca, Guanajuato, México | ENTRONQUE CAMINO AL COYOTE #KM 0+320 CARRETERA SILAO - SAN FELIPE C.P. 36290 Silao de la Victoria, Guanajuato, México | LTE. 2 MZA. 3 #S/N ZONA INDUSTRIAL C.P. 23050 La Paz, Baja California Sur, México","ABACOM - Culiacan - AMADO SABAS GUZMAN REYNAUD, ABACOM - Ensenada - AMADO SABAS GUZMAN REYNAUD, ABACOM - Guadalajara - AMADO SABAS GUZMAN REYNAUD, ABACOM - Hermosillo - AMADO SABAS GUZMAN REYNAUD, ABACOM - Los Mochis - AMADO SABAS GUZMAN REYNAUD, ABACOM - Mazatlan - AMADO SABAS GUZMAN REYNAUD, ABACOM - Mexicali - AMADO SABAS GUZMAN REYNAUD, ABACOM - Tijuana - AMADO SABAS GUZMAN REYNAUD, ABACOM - Manzanillo - AMADO SABAS GUZMAN REYNAUD, ABACOM - Gomez Palacio - AMADO SABAS GUZMAN REYNAUD, ABACOM - Villahermosa - AMADO SABAS GUZMAN REYNAUD, ABACOM - Salamanca - MARTIN GONZALEZ ENRIQUEZ, ABACOM - Silao - MARTIN GONZALEZ ENRIQUEZ, ABACOM - MERIDA - ANGEL GARCIA RANGEL, ACP - Mazatlan - AMADO SABAS GUZMAN REYNAUD, ACP - Culiacan - AMADO SABAS GUZMAN REYNAUD, ACP - Los Mochis - AMADO SABAS GUZMAN REYNAUD, ACP - Hermosillo - AMADO SABAS GUZMAN REYNAUD, ACP - Manzanillo - AMADO SABAS GUZMAN REYNAUD, ACP - Guadalajara - AMADO SABAS GUZMAN REYNAUD, ACP - Mexicali - AMADO SABAS GUZMAN REYNAUD, ACP - Salamanca - AMADO SABAS GUZMAN REYNAUD, ACP - Tijuana - AMADO SABAS GUZMAN REYNAUD, ACP - Corporativo - AMADO SABAS GUZMAN REYNAUD, ACP - Ensenada - AMADO SABAS GUZMAN REYNAUD, ACP - Ciudad Obregon - AMADO SABAS GUZMAN REYNAUD, ACP - Gomez Palacio - AMADO SABAS GUZMAN REYNAUD, ACP - Monterrey - AMADO SABAS GUZMAN REYNAUD, ACP - Silao - AMADO SABAS GUZMAN REYNAUD, ACP - Villahermosa - AMADO SABAS GUZMAN REYNAUD, ACP - La Paz - GILBERTO VALDEZ ROCHIN, PETROSMART - Hermosillo - AMADO SABAS GUZMAN REYNAUD, PETROSMART - Los Mochis - AMADO SABAS GUZMAN REYNAUD, PETROSMART - Manzanillo - AMADO SABAS GUZMAN REYNAUD, PETROSMART - Mazatlan - AMADO SABAS GUZMAN REYNAUD, PETROSMART - Salamanca - AMADO SABAS GUZMAN REYNAUD, PETROSMART - Culiacan - AMADO SABAS GUZMAN REYNAUD, PETROSMART - Tijuana - AMADO SABAS GUZMAN REYNAUD, PETROSMART - Guadalajara - AMADO SABAS GUZMAN REYNAUD, PETROSMART - Corporativo - AMADO SABAS GUZMAN REYNAUD, PETROSMART - Mexicali - AMADO SABAS GUZMAN REYNAUD, PETROSMART - Silao - AMADO SABAS GUZMAN REYNAUD, PETROSMART - Villahermosa - AMADO SABAS GUZMAN REYNAUD, PETROSMART - CULIACAN GAS LP - AMADO SABAS GUZMAN REYNAUD, PETROSMART - AUTOTANQUE - AMADO SABAS GUZMAN REYNAUD, PETROSMART - Monterrey - CESAR RUBEN SOTO ORTEGA, PETROSMART - Gomez Palacio - HUMBERTO FERNANDO REYES PLASCENCIA, PETROSMART - MERIDA - ANGEL GARCIA RANGEL, PETRO MARINE - Mazatlan - AMADO SABAS GUZMAN REYNAUD, MEyCEMMG - Mazatlan - AMADO SABAS GUZMAN REYNAUD, AMADO GUZMAN - MAZATLAN - AMADO SABAS GUZMAN REYNAUD,  - Mazatlan - AMADO SABAS GUZMAN REYNAUD, ELYON LOGISTICS - Mazatlan - AMADO SABAS GUZMAN REYNAUD, ELEKTRON MOTORS - Mazatlan - SERGIO EDUARDO ORTEGA DAVILA","6699851044,",,,,undefined,,,,,,,undefined,undefined,,,
3384,ABASTECEDORA DE COMBUSTIBLES SANCHEZ HERMANOS,ACS990216UF2,PIFCAN,Distribuidora,13/08/2021,ENERGETICO,GASOLINERAS,Credito,NO,24/10/2025,"$750,000.00",24/10/2025,"$750,000.00",Abastecedora,7,%0,Activo,Abastecedora,Culiacan," DIESEL AUTOMOTRIZ PETROIL, GASOLINA 87 OCTANOS, GASOLINA 91 OCTANOS, DIESEL AUTOMOTRIZ PETROIL, GASOLINA 87 OCTANOS, TURBOCINA"," CALZADA AEROPUERTO Y BLVD DE LAS TORRES #6338 BUGAMBILIAS C.P. 80148 Culiacán, Sinaloa, México","ABACOM - Culiacan - ROSA MONTAÑO MACIEL, ACP - Culiacan - ROSA MONTAÑO MACIEL","6677603374,",,,,undefined,,,,,,,undefined,undefined,,,
1029,ABASTECEDORA HERMANOS MORAS DE ZACATLAN S.A. DE C.V.,AHM080821395,,Distribuidora,13/03/2017,ACUACULTURA,,Contado,NO,,$0.00,,$0.00,,0,%0,Activo,ACP Combustibles,Mazatlan,," PRIMERA SECCION #99 OTRA NO ESPECIFICADA EN EL CATALOGO C.P. 73314 Zacatlán, Puebla, México",ABACOM - Culiacan - AMADO SABAS GUZMAN REYNAUD,",",,,,undefined,,,,,,,undefined,undefined,,,
3594,ABC AUTOLINEAS SA DE CV,AAU070531MPA,,Distribuidora,09/02/2022,TRANSPORTE,CARGA,Contado,NO,,$0.00,,$0.00,,0,%0,Activo,Abastecedora,Monterrey," DIESEL AUTOMOTRIZ PETROIL, DIESEL MARINO PETROIL"," CALLE DE ACCESO #1013 PRESA DE LAS CASAS C.P. 25350 Arteaga, Coahuila de Zaragoza, México",ACP - Monterrey - GERARDO FERNANDO DOMINGUEZ MONTES,"8624398271,",,,,undefined,,,,,,,undefined,undefined,,,
7994,ABC POLIMEROS Y EMPAQUES,APE0701048TA,,GasPetroil,25/02/2026,ENERGETICO,GAS LP,Contado,NO,,$0.00,,$0.00,,0,%0,Activo,Petro Smart,AUTOTANQUE,," CUERNAVACA #193 B BALDERRAMA C.P. 83180 Hermosillo, Sonora, México",PETROSMART - AUTOTANQUE - AMADO SABAS GUZMAN REYNAUD,"6622277251,",,,,undefined,,,,,,,undefined,undefined,,,
4884,ABEL ANTONIO FERNANDEZ LOZANO,FELA921026UA1,,GasPetroil,07/12/2023,ENERGETICO,GAS LP,Contado,NO,,$0.00,,$0.00,,0,%0,Activo,Petro Smart,NAVOJOA GAS LP,," MANUEL CLOUTHIER #24 EL SASABE C.P. 84160 Magdalena, Sonora, México",PETROSMART - NAVOJOA GAS LP - AMADO SABAS GUZMAN REYNAUD,"6323188640,",,,,undefined,,,,,,,undefined,undefined,,,
2930,ABEL FRANCISCO ROBLES LOPEZ,ROLA741110BJ9,,Distribuidora,29/12/2020,SERVICIOS,ALMACENAJE Y/O MANIOBRA,Contado,NO,,$0.00,,$0.00,,0,%0,Activo,Abastecedora,Mazatlan,," ADOLFO RUIZ CORTINEZ #143 MONTUOSA C.P. 82030 Mazatlán, Sinaloa, México",ABACOM - Mazatlan - AMADO SABAS GUZMAN REYNAUD,"6699851044,",,,,undefined,,,,,,,undefined,undefined,,,
810,ABEL RODRIGUEZ DE LA ROCHA,RORA7803073U4,ROMA,Distribuidora,24/11/2015,ACUACULTURA,,Contado,NO,,$0.00,,$0.00,,0,%0,Activo,Abastecedora,Mazatlan," DIESEL MARINO PETROIL, DIESEL AUTOMOTRIZ PETROIL, DIESEL AUTOMOTRIZ PETROIL"," FERNANDO DE ALENCASTRE #1604 PORTALGRE C.P. 80058 Culiacán, Sinaloa, México",,",",,,,undefined,,,,,,,undefined,undefined,,,
2108,ABEL VALDEZ GRIJALVA,VAGA720804PV3,Alianza de Transporte del Mpio. de Guasave,Distribuidora,27/08/2019,TRANSPORTE,CARGA,Contado,NO,,$0.00,,$0.00,,0,%0,Activo,Abastecedora,Los Mochis,," POSTE C7 #2 VALLE CAMPESTRE C.P. 81121 Guasave, Sinaloa, México",ABACOM - Los Mochis - AMADO SABAS GUZMAN REYNAUD,"6871258734,",,,,undefined,,,,,,,undefined,undefined,,,
